experiment;cell;n_features;n_concepts;l2_min;l2_max;l2_mean;l2_mean_std;n_reps;verdict;n_informative
exp1;gradual;10;25;0,2586;2,2975;1,5532;0,4617;5;data moves (drift visible in P(X));
exp1;sudden;10;21;1,6979;2,6575;2,1512;0,1851;5;data moves (drift visible in P(X));
exp2;ninf10_gradual;20;25;0,2516;2,2318;1,5281;0,4521;5;data moves (drift visible in P(X));10
exp2;ninf10_sudden;20;21;1,7846;2,6956;2,1667;0,1704;5;data moves (drift visible in P(X));10
exp2;ninf15_gradual;20;25;0,3390;2,8396;1,9890;0,5847;5;data moves (drift visible in P(X));15
exp2;ninf15_sudden;20;21;2,3470;3,3059;2,7209;0,1771;5;data moves (drift visible in P(X));15
exp2;ninf3_gradual;20;25;0,1189;0,9502;0,6395;0,1886;5;data moves (drift visible in P(X));3
exp2;ninf3_sudden;20;21;0,5526;1,1933;0,8771;0,1102;5;data moves (drift visible in P(X));3
exp2;ninf5_gradual;20;25;0,1791;1,7481;1,0895;0,3437;5;data moves (drift visible in P(X));5
exp2;ninf5_sudden;20;21;1,1242;1,9318;1,4532;0,1497;5;data moves (drift visible in P(X));5
exp3;led_chunk100_gradual;24;4;0,4164;0,7005;0,5963;0,0982;5;data moves (drift visible in P(X));
exp3;led_chunk100_sudden;24;4;0,4383;0,7355;0,6043;0,0965;5;data moves (drift visible in P(X));
exp3;sea_chunk100_gradual;3;4;0,0161;0,0199;0,0177;0,0012;5;data does not move (drift in P(y|X) only);
exp3;sea_chunk100_sudden;3;4;0,0160;0,0228;0,0191;0,0024;5;data does not move (drift in P(y|X) only);
exp3;stagger_chunk100_gradual;3;3;0,0032;0,0046;0,0040;0,0006;5;data does not move (drift in P(y|X) only);
exp3;stagger_chunk100_sudden;3;3;0,0048;0,0063;0,0054;0,0006;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift15_gradual;3;4;0,0162;0,0247;0,0199;0,0031;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift15_sudden;3;4;0,0109;0,0267;0,0188;0,0047;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift1_gradual;3;2;0,0086;0,0086;0,0086;0,0000;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift1_sudden;3;2;0,0097;0,0097;0,0097;0,0000;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift3_gradual;3;4;0,0161;0,0199;0,0177;0,0012;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift3_sudden;3;4;0,0160;0,0228;0,0191;0,0024;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift7_gradual;3;4;0,0124;0,0211;0,0174;0,0029;5;data does not move (drift in P(y|X) only);
exp4;sea_chunk100_ndrift7_sudden;3;4;0,0141;0,0236;0,0204;0,0031;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift15_gradual;3;3;0,0033;0,0054;0,0043;0,0008;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift15_sudden;3;3;0,0048;0,0057;0,0053;0,0004;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift1_gradual;3;2;0,0035;0,0035;0,0035;0,0000;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift1_sudden;3;2;0,0037;0,0037;0,0037;0,0000;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift3_gradual;3;3;0,0032;0,0046;0,0040;0,0006;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift3_sudden;3;3;0,0048;0,0063;0,0054;0,0006;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift7_gradual;3;3;0,0036;0,0044;0,0039;0,0004;5;data does not move (drift in P(y|X) only);
exp4;stagger_chunk100_ndrift7_sudden;3;3;0,0039;0,0049;0,0045;0,0004;5;data does not move (drift in P(y|X) only);
exp5;INSECTS-abrupt_balanced;33;6;0,0098;0,1418;0,0813;nan;1;data moves partially;
exp5;INSECTS-abrupt_imbalanced;33;6;0,0233;0,1085;0,0683;nan;1;data moves partially;
exp5;INSECTS-incgradual_balanced;33;2;0,1183;0,1183;0,1183;nan;1;data moves partially;
exp5;INSECTS-incgradual_imbalanced;33;2;0,1435;0,1435;0,1435;nan;1;data moves partially;
exp5;SPAM;499;6;0,6986;3,3063;2,2586;nan;1;data moves (drift visible in P(X));
