cell,concept_a,concept_b,l2,l2_std,n_reps
sudden,0,1,2.0648,0.2106,5
sudden,0,2,2.1071,0.3042,5
sudden,0,3,2.3766,0.2854,5
sudden,0,4,2.2284,0.5311,5
sudden,0,5,2.2441,0.4986,5
sudden,0,6,2.2776,0.3045,5
sudden,0,7,2.3478,0.4258,5
sudden,0,8,1.9679,0.5029,5
sudden,0,9,2.5319,0.3417,5
sudden,0,10,2.1537,0.4504,5
sudden,0,11,2.3268,0.2857,5
sudden,0,12,2.4617,0.408,5
sudden,0,13,2.0131,0.3156,5
sudden,0,14,2.2373,0.2279,5
sudden,0,15,2.048,0.2397,5
sudden,0,16,1.9085,0.2465,5
sudden,0,17,2.1546,0.4569,5
sudden,0,18,2.2846,0.4843,5
sudden,0,19,2.2793,0.4961,5
sudden,0,20,2.3257,0.6084,5
sudden,1,2,2.1312,0.3021,5
sudden,1,3,1.9856,0.3317,5
sudden,1,4,2.0575,0.2251,5
sudden,1,5,1.6979,0.44,5
sudden,1,6,1.9992,0.3793,5
sudden,1,7,2.1574,0.3942,5
sudden,1,8,2.2551,0.151,5
sudden,1,9,1.8938,0.4686,5
sudden,1,10,2.1778,0.2033,5
sudden,1,11,1.9262,0.2387,5
sudden,1,12,2.1319,0.299,5
sudden,1,13,2.0443,0.4194,5
sudden,1,14,1.9798,0.231,5
sudden,1,15,1.8455,0.4764,5
sudden,1,16,1.7938,0.1692,5
sudden,1,17,2.0919,0.4056,5
sudden,1,18,2.0771,0.4125,5
sudden,1,19,2.12,0.5883,5
sudden,1,20,1.9167,0.4676,5
sudden,2,3,2.2824,0.2925,5
sudden,2,4,2.3317,0.1971,5
sudden,2,5,1.8207,0.3716,5
sudden,2,6,2.1412,0.3405,5
sudden,2,7,2.2518,0.3173,5
sudden,2,8,2.2276,0.41,5
sudden,2,9,2.4527,0.678,5
sudden,2,10,2.0863,0.5314,5
sudden,2,11,2.299,0.522,5
sudden,2,12,2.1931,0.3278,5
sudden,2,13,1.9924,0.2243,5
sudden,2,14,1.8123,0.6153,5
sudden,2,15,2.1152,0.3481,5
sudden,2,16,2.2135,0.5014,5
sudden,2,17,2.308,0.3174,5
sudden,2,18,2.0343,0.4848,5
sudden,2,19,2.0292,0.4091,5
sudden,2,20,2.2344,0.4014,5
sudden,3,4,2.2626,0.3301,5
sudden,3,5,1.8189,0.4832,5
sudden,3,6,2.2252,0.5298,5
sudden,3,7,1.8911,0.5556,5
sudden,3,8,2.0888,0.445,5
sudden,3,9,2.0963,0.5187,5
sudden,3,10,2.1272,0.2905,5
sudden,3,11,2.1631,0.4311,5
sudden,3,12,2.2995,0.4368,5
sudden,3,13,2.2552,0.4102,5
sudden,3,14,2.11,0.3624,5
sudden,3,15,2.2773,0.3342,5
sudden,3,16,2.1504,0.2913,5
sudden,3,17,2.4926,0.49,5
sudden,3,18,2.172,0.6421,5
sudden,3,19,2.0707,0.6477,5
sudden,3,20,2.3968,0.447,5
sudden,4,5,2.0077,0.1956,5
sudden,4,6,2.1282,0.1822,5
sudden,4,7,2.09,0.3721,5
sudden,4,8,1.9834,0.3433,5
sudden,4,9,2.0041,0.2887,5
sudden,4,10,2.0202,0.6108,5
sudden,4,11,2.0995,0.4481,5
sudden,4,12,2.4734,0.161,5
sudden,4,13,2.015,0.3082,5
sudden,4,14,2.3655,0.3345,5
sudden,4,15,2.0081,0.5407,5
sudden,4,16,1.9906,0.2646,5
sudden,4,17,2.4712,0.17,5
sudden,4,18,2.1097,0.5028,5
sudden,4,19,1.7829,0.1573,5
sudden,4,20,2.1714,0.2787,5
sudden,5,6,1.9169,0.4624,5
sudden,5,7,1.9159,0.4856,5
sudden,5,8,2.2924,0.3293,5
sudden,5,9,2.1972,0.6013,5
sudden,5,10,2.1253,0.5892,5
sudden,5,11,2.0882,0.2387,5
sudden,5,12,2.1958,0.1908,5
sudden,5,13,1.9494,0.6785,5
sudden,5,14,1.915,0.3013,5
sudden,5,15,2.3085,0.6545,5
sudden,5,16,2.0532,0.2501,5
sudden,5,17,2.2736,0.4427,5
sudden,5,18,2.1707,0.5876,5
sudden,5,19,1.8535,0.4842,5
sudden,5,20,1.7423,0.5226,5
sudden,6,7,2.1603,0.2939,5
sudden,6,8,2.017,0.5154,5
sudden,6,9,2.1742,0.2772,5
sudden,6,10,2.0703,0.406,5
sudden,6,11,2.2793,0.4307,5
sudden,6,12,2.1136,0.3408,5
sudden,6,13,1.7566,0.3488,5
sudden,6,14,1.7125,0.5802,5
sudden,6,15,2.1815,0.2239,5
sudden,6,16,1.8019,0.2503,5
sudden,6,17,1.9518,0.3297,5
sudden,6,18,2.1911,0.6773,5
sudden,6,19,1.9614,0.4139,5
sudden,6,20,2.0665,0.4544,5
sudden,7,8,2.1268,0.3317,5
sudden,7,9,2.0814,0.5376,5
sudden,7,10,2.0915,0.3109,5
sudden,7,11,1.9205,0.4858,5
sudden,7,12,2.1965,0.1864,5
sudden,7,13,2.0478,0.6208,5
sudden,7,14,2.2791,0.1276,5
sudden,7,15,2.3032,0.4202,5
sudden,7,16,2.242,0.3697,5
sudden,7,17,2.5513,0.3974,5
sudden,7,18,2.2469,0.3849,5
sudden,7,19,2.0281,0.4667,5
sudden,7,20,2.4264,0.4385,5
sudden,8,9,2.2796,0.6136,5
sudden,8,10,2.0282,0.3266,5
sudden,8,11,2.171,0.1774,5
sudden,8,12,2.4062,0.337,5
sudden,8,13,2.1352,0.2309,5
sudden,8,14,2.0483,0.6195,5
sudden,8,15,2.0871,0.233,5
sudden,8,16,1.9556,0.4116,5
sudden,8,17,2.2413,0.4174,5
sudden,8,18,2.3966,0.3294,5
sudden,8,19,2.0765,0.2831,5
sudden,8,20,2.2879,0.1236,5
sudden,9,10,2.3599,0.4323,5
sudden,9,11,2.0997,0.4112,5
sudden,9,12,2.3384,0.275,5
sudden,9,13,2.0618,0.1697,5
sudden,9,14,2.3683,0.321,5
sudden,9,15,2.0495,0.6083,5
sudden,9,16,2.1984,0.5723,5
sudden,9,17,2.5224,0.4467,5
sudden,9,18,2.1686,0.4554,5
sudden,9,19,2.0062,0.3391,5
sudden,9,20,1.9736,0.6362,5
sudden,10,11,2.3998,0.4456,5
sudden,10,12,2.2266,0.476,5
sudden,10,13,2.0343,0.2866,5
sudden,10,14,2.1874,0.3235,5
sudden,10,15,2.2561,0.1773,5
sudden,10,16,2.3831,0.214,5
sudden,10,17,2.4983,0.3368,5
sudden,10,18,2.0483,0.1598,5
sudden,10,19,2.1072,0.5199,5
sudden,10,20,2.3766,0.3263,5
sudden,11,12,2.4889,0.513,5
sudden,11,13,2.2429,0.1424,5
sudden,11,14,2.1828,0.4835,5
sudden,11,15,2.2847,0.2165,5
sudden,11,16,1.8785,0.4554,5
sudden,11,17,2.4977,0.3333,5
sudden,11,18,2.2383,0.5277,5
sudden,11,19,2.2795,0.3969,5
sudden,11,20,2.3415,0.5364,5
sudden,12,13,2.2684,0.2278,5
sudden,12,14,2.1627,0.2875,5
sudden,12,15,2.3511,0.53,5
sudden,12,16,2.2551,0.4442,5
sudden,12,17,2.5604,0.4938,5
sudden,12,18,2.2761,0.5123,5
sudden,12,19,2.6575,0.177,5
sudden,12,20,2.2382,0.4968,5
sudden,13,14,2.0444,0.2765,5
sudden,13,15,1.9867,0.2381,5
sudden,13,16,1.8075,0.2752,5
sudden,13,17,2.3164,0.2348,5
sudden,13,18,2.1216,0.4921,5
sudden,13,19,1.9224,0.3239,5
sudden,13,20,1.9502,0.3983,5
sudden,14,15,1.9986,0.197,5
sudden,14,16,1.8655,0.2915,5
sudden,14,17,2.268,0.3696,5
sudden,14,18,2.289,0.5642,5
sudden,14,19,2.154,0.4708,5
sudden,14,20,2.2552,0.391,5
sudden,15,16,1.9902,0.2205,5
sudden,15,17,2.2655,0.466,5
sudden,15,18,2.4198,0.6293,5
sudden,15,19,1.9755,0.4389,5
sudden,15,20,1.9885,0.4542,5
sudden,16,17,2.1389,0.2099,5
sudden,16,18,2.3762,0.6405,5
sudden,16,19,2.1508,0.3151,5
sudden,16,20,2.1948,0.5035,5
sudden,17,18,2.2674,0.4693,5
sudden,17,19,2.1729,0.4624,5
sudden,17,20,2.2538,0.3064,5
sudden,18,19,2.2912,0.8859,5
sudden,18,20,2.5487,0.5785,5
sudden,19,20,1.7088,0.5861,5
gradual,0,1,0.2798,0.0112,5
gradual,0,2,0.9683,0.104,5
gradual,0,3,1.6516,0.1595,5
gradual,0,4,1.9354,0.2057,5
gradual,0,5,1.8408,0.2443,5
gradual,0,6,1.7185,0.3241,5
gradual,0,7,1.8983,0.3087,5
gradual,0,8,2.0364,0.2874,5
gradual,0,9,1.951,0.2427,5
gradual,0,10,1.903,0.158,5
gradual,0,11,2.1314,0.2275,5
gradual,0,12,2.2975,0.2881,5
gradual,0,13,2.149,0.2602,5
gradual,0,14,1.9687,0.3264,5
gradual,0,15,2.0456,0.4865,5
gradual,0,16,2.1484,0.5245,5
gradual,0,17,2.041,0.5463,5
gradual,0,18,1.9372,0.5514,5
gradual,0,19,2.0666,0.5071,5
gradual,0,20,2.1617,0.4967,5
gradual,0,21,2.0647,0.4938,5
gradual,0,22,1.9718,0.4635,5
gradual,0,23,2.0927,0.3729,5
gradual,0,24,2.2041,0.3121,5
gradual,1,2,0.6947,0.0929,5
gradual,1,3,1.3774,0.1486,5
gradual,1,4,1.6614,0.1943,5
gradual,1,5,1.5728,0.2336,5
gradual,1,6,1.5052,0.2899,5
gradual,1,7,1.7694,0.2603,5
gradual,1,8,1.9397,0.2459,5
gradual,1,9,1.8412,0.1988,5
gradual,1,10,1.7565,0.1297,5
gradual,1,11,1.9744,0.2394,5
gradual,1,12,2.1419,0.2982,5
gradual,1,13,1.9899,0.2531,5
gradual,1,14,1.8114,0.2818,5
gradual,1,15,1.9126,0.4258,5
gradual,1,16,2.0311,0.4532,5
gradual,1,17,1.9119,0.4753,5
gradual,1,18,1.7899,0.4758,5
gradual,1,19,1.9108,0.4478,5
gradual,1,20,2.0067,0.4447,5
gradual,1,21,1.9062,0.4389,5
gradual,1,22,1.8109,0.4097,5
gradual,1,23,1.9473,0.3146,5
gradual,1,24,2.0661,0.2524,5
gradual,2,3,0.6859,0.056,5
gradual,2,4,0.9692,0.1017,5
gradual,2,5,0.9049,0.1486,5
gradual,2,6,1.0625,0.1478,5
gradual,2,7,1.5649,0.2013,5
gradual,2,8,1.8127,0.2226,5
gradual,2,9,1.6928,0.1786,5
gradual,2,10,1.5296,0.162,5
gradual,2,11,1.7229,0.2806,5
gradual,2,12,1.8937,0.3159,5
gradual,2,13,1.7369,0.2398,5
gradual,2,14,1.5646,0.1584,5
gradual,2,15,1.7187,0.2483,5
gradual,2,16,1.8625,0.264,5
gradual,2,17,1.7153,0.2758,5
gradual,2,18,1.5362,0.2528,5
gradual,2,19,1.6121,0.2982,5
gradual,2,20,1.7036,0.3251,5
gradual,2,21,1.604,0.3156,5
gradual,2,22,1.5309,0.2881,5
gradual,2,23,1.7231,0.1956,5
gradual,2,24,1.8626,0.1613,5
gradual,3,4,0.2926,0.0447,5
gradual,3,5,0.3654,0.0525,5
gradual,3,6,0.9582,0.1308,5
gradual,3,7,1.6458,0.2274,5
gradual,3,8,1.9379,0.2642,5
gradual,3,9,1.8087,0.2427,5
gradual,3,10,1.5799,0.2708,5
gradual,3,11,1.7129,0.3416,5
gradual,3,12,1.8657,0.34,5
gradual,3,13,1.7214,0.2511,5
gradual,3,14,1.5753,0.1067,5
gradual,3,15,1.7553,0.149,5
gradual,3,16,1.9052,0.1836,5
gradual,3,17,1.7436,0.2047,5
gradual,3,18,1.5191,0.2438,5
gradual,3,19,1.54,0.3509,5
gradual,3,20,1.615,0.403,5
gradual,3,21,1.5246,0.4122,5
gradual,3,22,1.4912,0.3849,5
gradual,3,23,1.7287,0.3021,5
gradual,3,24,1.8787,0.286,5
gradual,4,5,0.3072,0.0325,5
gradual,4,6,1.012,0.1449,5
gradual,4,7,1.7225,0.2319,5
gradual,4,8,2.0206,0.2723,5
gradual,4,9,1.8936,0.2576,5
gradual,4,10,1.6585,0.2901,5
gradual,4,11,1.777,0.339,5
gradual,4,12,1.9207,0.3267,5
gradual,4,13,1.7861,0.2397,5
gradual,4,14,1.6527,0.1211,5
gradual,4,15,1.8336,0.1633,5
gradual,4,16,1.9804,0.2058,5
gradual,4,17,1.8159,0.2342,5
gradual,4,18,1.5769,0.2955,5
gradual,4,19,1.5785,0.3768,5
gradual,4,20,1.6452,0.4229,5
gradual,4,21,1.563,0.4384,5
gradual,4,22,1.5448,0.4248,5
gradual,4,23,1.788,0.366,5
gradual,4,24,1.9373,0.3566,5
gradual,5,6,0.7143,0.1141,5
gradual,5,7,1.4243,0.2014,5
gradual,5,8,1.7222,0.2419,5
gradual,5,9,1.6008,0.2292,5
gradual,5,10,1.4212,0.2663,5
gradual,5,11,1.6516,0.2896,5
gradual,5,12,1.8395,0.271,5
gradual,5,13,1.6997,0.1871,5
gradual,5,14,1.5512,0.0906,5
gradual,5,15,1.7419,0.1515,5
gradual,5,16,1.8957,0.1823,5
gradual,5,17,1.7182,0.2002,5
gradual,5,18,1.45,0.221,5
gradual,5,19,1.4416,0.2691,5
gradual,5,20,1.5133,0.308,5
gradual,5,21,1.4246,0.3285,5
gradual,5,22,1.4076,0.3329,5
gradual,5,23,1.6697,0.3109,5
gradual,5,24,1.8275,0.3254,5
gradual,6,7,0.7133,0.0888,5
gradual,6,8,1.011,0.1285,5
gradual,6,9,0.9158,0.1283,5
gradual,6,10,1.0019,0.1585,5
gradual,6,11,1.5438,0.1776,5
gradual,6,12,1.8201,0.197,5
gradual,6,13,1.6818,0.1435,5
gradual,6,14,1.5122,0.1399,5
gradual,6,15,1.7034,0.1809,5
gradual,6,16,1.8568,0.189,5
gradual,6,17,1.6712,0.1855,5
gradual,6,18,1.3639,0.1788,5
gradual,6,19,1.3323,0.1991,5
gradual,6,20,1.4042,0.2359,5
gradual,6,21,1.3074,0.241,5
gradual,6,22,1.305,0.1611,5
gradual,6,23,1.5775,0.2164,5
gradual,6,24,1.7411,0.2832,5
gradual,7,8,0.3046,0.0421,5
gradual,7,9,0.3466,0.065,5
gradual,7,10,0.9768,0.1074,5
gradual,7,11,1.7186,0.1925,5
gradual,7,12,2.0367,0.2421,5
gradual,7,13,1.9235,0.2145,5
gradual,7,14,1.7786,0.1956,5
gradual,7,15,1.9523,0.1803,5
gradual,7,16,2.0866,0.179,5
gradual,7,17,1.9189,0.1486,5
gradual,7,18,1.6233,0.1809,5
gradual,7,19,1.5546,0.296,5
gradual,7,20,1.6002,0.3619,5
gradual,7,21,1.519,0.3449,5
gradual,7,22,1.5411,0.1603,5
gradual,7,23,1.7866,0.2021,5
gradual,7,24,1.9341,0.2898,5
gradual,8,9,0.3212,0.0259,5
gradual,8,10,1.0834,0.1365,5
gradual,8,11,1.8441,0.2238,5
gradual,8,12,2.1665,0.2736,5
gradual,8,13,2.0663,0.2451,5
gradual,8,14,1.9365,0.2135,5
gradual,8,15,2.1031,0.1904,5
gradual,8,16,2.2287,0.1899,5
gradual,8,17,2.0707,0.1459,5
gradual,8,18,1.7887,0.1566,5
gradual,8,19,1.7128,0.2903,5
gradual,8,20,1.7494,0.3651,5
gradual,8,21,1.6751,0.3411,5
gradual,8,22,1.697,0.155,5
gradual,8,23,1.9233,0.2123,5
gradual,8,24,2.062,0.3028,5
gradual,9,10,0.7693,0.1249,5
gradual,9,11,1.5294,0.2106,5
gradual,9,12,1.8516,0.2612,5
gradual,9,13,1.7608,0.2346,5
gradual,9,14,1.6889,0.1946,5
gradual,9,15,1.9465,0.1684,5
gradual,9,16,2.1094,0.176,5
gradual,9,17,1.9433,0.1381,5
gradual,9,18,1.6422,0.1281,5
gradual,9,19,1.5612,0.2656,5
gradual,9,20,1.6036,0.3395,5
gradual,9,21,1.5256,0.3068,5
gradual,9,22,1.5524,0.1056,5
gradual,9,23,1.7978,0.2087,5
gradual,9,24,1.9445,0.3044,5
gradual,10,11,0.7637,0.0889,5
gradual,10,12,1.0851,0.1393,5
gradual,10,13,1.0139,0.1107,5
gradual,10,14,1.1478,0.0897,5
gradual,10,15,1.6597,0.1663,5
gradual,10,16,1.909,0.2115,5
gradual,10,17,1.7349,0.2008,5
gradual,10,18,1.4182,0.1345,5
gradual,10,19,1.3588,0.1947,5
gradual,10,20,1.4257,0.2488,5
gradual,10,21,1.3504,0.1863,5
gradual,10,22,1.3827,0.1085,5
gradual,10,23,1.6618,0.2767,5
gradual,10,24,1.8223,0.3505,5
gradual,11,12,0.3284,0.0521,5
gradual,11,13,0.3888,0.0392,5
gradual,11,14,0.9985,0.1264,5
gradual,11,15,1.7238,0.2333,5
gradual,11,16,2.0265,0.2865,5
gradual,11,17,1.8701,0.2994,5
gradual,11,18,1.5851,0.3081,5
gradual,11,19,1.5382,0.3659,5
gradual,11,20,1.6051,0.396,5
gradual,11,21,1.5438,0.366,5
gradual,11,22,1.5832,0.3496,5
gradual,11,23,1.8474,0.4132,5
gradual,11,24,1.9976,0.4471,5
gradual,12,13,0.3399,0.0612,5
gradual,12,14,1.0851,0.1562,5
gradual,12,15,1.8336,0.2608,5
gradual,12,16,2.1432,0.316,5
gradual,12,17,2.0005,0.3354,5
gradual,12,18,1.7402,0.3738,5
gradual,12,19,1.7015,0.4478,5
gradual,12,20,1.7646,0.4789,5
gradual,12,21,1.7127,0.4502,5
gradual,12,22,1.7569,0.4247,5
gradual,12,23,2.0047,0.4686,5
gradual,12,24,2.1454,0.4921,5
gradual,13,14,0.7528,0.0948,5
gradual,13,15,1.5006,0.1996,5
gradual,13,16,1.81,0.2543,5
gradual,13,17,1.6722,0.2734,5
gradual,13,18,1.4541,0.3203,5
gradual,13,19,1.5066,0.413,5
gradual,13,20,1.6161,0.4442,5
gradual,13,21,1.5592,0.4014,5
gradual,13,22,1.5988,0.3393,5
gradual,13,23,1.8553,0.3763,5
gradual,13,24,2.0026,0.4053,5
gradual,14,15,0.7507,0.1055,5
gradual,14,16,1.0599,0.1608,5
gradual,14,17,0.9388,0.182,5
gradual,14,18,0.9101,0.2443,5
gradual,14,19,1.2833,0.3293,5
gradual,14,20,1.5035,0.349,5
gradual,14,21,1.4296,0.2962,5
gradual,14,22,1.4233,0.1934,5
gradual,14,23,1.662,0.2266,5
gradual,14,24,1.8121,0.278,5
