cell;concept;f0;f1;f2;f3;f4;f5;f6;f7;f8;f9
sudden;0;-0,5141;-0,4858;-0,4800;-0,4715;-0,5155;-0,4787;0,5002;1,0068;0,0145;0,4878
sudden;1;0,5080;-0,0134;-0,9928;-0,0011;-0,5006;-0,4916;-0,5004;0,0071;-0,4975;-0,5126
sudden;2;-0,5055;-0,5013;0,4981;0,5028;-0,4932;-0,4864;0,0037;-0,4759;-0,0051;-0,0068
sudden;3;-0,0176;-0,5078;-0,4953;-0,4934;0,0046;0,4984;-0,0024;-0,4965;0,0149;0,4963
sudden;4;-0,5166;0,5082;0,0017;0,0046;-0,0051;0,4951;0,0109;0,5156;0,5025;-1,0099
sudden;5;0,0072;0,0019;0,5039;-0,5033;-0,0082;0,5087;-0,5130;-0,0054;-0,5007;-0,0027
sudden;6;0,5054;0,4893;-0,0022;0,4999;0,4799;0,4890;-0,0066;-0,0081;-0,0055;0,5018
sudden;7;-0,0030;0,4920;0,0090;-0,5065;-0,5041;-0,0003;0,0048;0,0053;-0,9862;0,0064
sudden;8;0,5049;-0,5291;0,0005;0,9918;-0,5068;-0,0146;0,9837;-0,0122;0,4850;-0,0106
sudden;9;1,0022;0,4915;0,5117;-0,5109;0,4990;0,9944;-0,5095;0,4963;0,4943;-0,4987
sudden;10;0,4959;-0,0061;-1,0037;0,9975;-0,0133;0,5087;0,4970;-0,4856;-0,0135;1,0012
sudden;11;0,0209;-0,0153;-0,9933;-0,4938;0,0172;-0,5040;0,0007;0,0049;0,4911;-1,0096
sudden;12;0,4893;0,5042;0,5011;0,4943;-1,0024;0,5041;-0,4920;0,4956;0,0095;1,0086
sudden;13;0,0032;0,5100;0,5119;0,0094;-0,0050;-0,0053;-0,0006;0,0097;-0,4893;0,0008
sudden;14;1,0043;0,0057;-0,5017;-0,0029;0,5078;-0,0102;0,5013;0,4910;0,0059;0,4801
sudden;15;0,4950;-0,5061;-0,9927;-0,0202;-0,5090;0,0054;1,0058;0,4996;-0,5043;-0,5049
sudden;16;-0,4881;0,5061;-0,9973;-0,0061;0,4895;-0,5034;0,0138;-0,0100;-0,5023;0,0018
sudden;17;-0,5010;-0,5079;0,0162;0,9992;1,0021;0,0075;-0,9953;0,0038;-0,0056;-0,5056
sudden;18;0,5111;0,0026;0,0088;-0,0061;0,5061;-0,0091;0,0183;0,0054;0,4872;-0,4917
sudden;19;-0,0000;-0,5033;0,4926;0,0035;0,4883;-0,4934;-0,4912;0,4929;0,5035;-0,4981
sudden;20;0,4804;0,0138;0,4823;-0,5245;0,0237;0,5054;-0,5090;0,5264;-0,0059;0,0055
gradual;0;-0,4731;-0,4876;-0,5115;-0,4623;-0,5065;-0,4786;0,4632;0,9669;-0,0177;0,4576
gradual;1;-0,3022;-0,4218;-0,5896;-0,4082;-0,5117;-0,4906;0,3589;0,8445;-0,0774;0,3328
gradual;2;0,0033;-0,2451;-0,7516;-0,2628;-0,4943;-0,5108;-0,0038;0,4994;-0,2609;-0,0005
gradual;3;0,3219;-0,0770;-0,9198;-0,1057;-0,4873;-0,5095;-0,3593;0,1477;-0,4437;-0,3144
gradual;4;0,4646;-0,0139;-0,9668;-0,0055;-0,4924;-0,5045;-0,4729;0,0094;-0,4681;-0,4703
gradual;5;0,3363;-0,0654;-0,7523;0,0530;-0,5204;-0,4960;-0,3918;-0,0756;-0,4205;-0,4252
gradual;6;-0,0173;-0,2331;-0,2689;0,2547;-0,4912;-0,5117;-0,2703;-0,2618;-0,2565;-0,2591
gradual;7;-0,3340;-0,4288;0,2460;0,3960;-0,4955;-0,4868;-0,0903;-0,4348;-0,0644;-0,0760
gradual;8;-0,4682;-0,4849;0,4599;0,4780;-0,4851;-0,4829;-0,0202;-0,4906;-0,0093;-0,0016
gradual;9;-0,4404;-0,5073;0,3114;0,3203;-0,4058;-0,3190;0,0152;-0,4915;-0,0042;0,1112
gradual;10;-0,2370;-0,4900;-0,0196;-0,0143;-0,2631;-0,0000;0,0064;-0,5010;0,0149;0,2594
gradual;11;-0,0887;-0,5030;-0,3465;-0,3275;-0,0950;0,3712;-0,0159;-0,5011;0,0148;0,4183
gradual;12;-0,0394;-0,4838;-0,4791;-0,4738;-0,0076;0,4811;-0,0157;-0,4811;0,0021;0,4585
gradual;13;-0,0766;-0,3318;-0,4146;-0,4478;-0,0319;0,5213;-0,0203;-0,3254;0,0814;0,2320
gradual;14;-0,2651;0,0247;-0,2427;-0,2331;-0,0049;0,4959;0,0073;0,0060;0,2316;-0,2402
gradual;15;-0,4328;0,3190;-0,0921;-0,0654;-0,0039;0,5085;0,0099;0,3262;0,4013;-0,7830
gradual;16;-0,4720;0,4673;-0,0018;-0,0204;-0,0048;0,5004;-0,0109;0,4716;0,4817;-0,9610
gradual;17;-0,4267;0,4207;0,0593;-0,0937;-0,0135;0,5146;-0,0796;0,4082;0,3372;-0,8466
gradual;18;-0,2456;0,2635;0,2627;-0,2570;0,0130;0,5155;-0,2404;0,2641;-0,0102;-0,4968
gradual;19;-0,0693;0,0783;0,4232;-0,4027;0,0011;0,4891;-0,4281;0,0554;-0,3314;-0,1579
gradual;20;0,0041;0,0165;0,4868;-0,4840;0,0070;0,4975;-0,4802;0,0230;-0,4803;-0,0166
gradual;21;0,0785;0,0711;0,3935;-0,3328;0,0556;0,5115;-0,4232;0,0067;-0,4365;0,0638
gradual;22;0,2292;0,2393;0,2467;0,0146;0,2469;0,5115;-0,2613;-0,0187;-0,2571;0,2332
gradual;23;0,3916;0,4138;0,0860;0,3394;0,4202;0,4941;-0,0951;-0,0260;-0,0833;0,4236
gradual;24;0,4690;0,4984;0,0139;0,4522;0,4809;0,4950;-0,0196;0,0032;-0,0080;0,4832
