cell,concept_a,concept_b,l2
sudden,0,1,2.2396
sudden,0,2,2.144
sudden,0,3,1.9963
sudden,0,4,2.3701
sudden,0,5,2.2953
sudden,0,6,2.5253
sudden,0,7,2.0416
sudden,0,8,2.3173
sudden,0,9,3.1499
sudden,0,10,2.7205
sudden,0,11,2.186
sudden,0,12,2.5695
sudden,0,13,2.1667
sudden,0,14,2.0736
sudden,0,15,1.8673
sudden,0,16,2.0622
sudden,0,17,3.0297
sudden,0,18,2.3296
sudden,0,19,2.214
sudden,0,20,2.2156
sudden,1,2,2.1744
sudden,1,3,2.0069
sudden,1,4,2.3016
sudden,1,5,2.0608
sudden,1,6,2.2189
sudden,1,7,1.6675
sudden,1,8,2.4262
sudden,1,9,2.7301
sudden,1,10,2.4493
sudden,1,11,1.4912
sudden,1,12,2.6074
sudden,1,13,1.9464
sudden,1,14,2.0525
sudden,1,15,1.7325
sudden,1,16,1.6649
sudden,1,17,2.5052
sudden,1,18,1.8679
sudden,1,19,2.2183
sudden,1,20,2.1214
sudden,2,3,1.9207
sudden,2,4,2.2277
sudden,2,5,1.8676
sudden,2,6,2.1517
sudden,2,7,1.9819
sudden,2,8,1.7739
sudden,2,9,3.0272
sudden,2,10,2.4956
sudden,2,11,2.3399
sudden,2,12,2.3371
sudden,2,13,1.5702
sudden,2,14,2.5378
sudden,2,15,2.4884
sudden,2,16,2.2228
sudden,2,17,2.1061
sudden,2,18,1.9292
sudden,2,19,1.7754
sudden,2,20,2.1935
sudden,3,4,2.3037
sudden,3,5,1.5086
sudden,3,6,1.7212
sudden,3,7,1.8044
sudden,3,8,2.2214
sudden,3,9,2.4507
sudden,3,10,1.8714
sudden,3,11,2.0598
sudden,3,12,2.3979
sudden,3,13,1.8202
sudden,3,14,1.8136
sudden,3,15,2.1264
sudden,3,16,1.9304
sudden,3,17,2.4899
sudden,3,18,1.7298
sudden,3,19,2.2104
sudden,3,20,1.7382
sudden,4,5,1.8995
sudden,4,6,2.084
sudden,4,7,2.1282
sudden,4,8,2.4144
sudden,4,9,1.9669
sudden,4,10,2.9725
sudden,4,11,1.7497
sudden,4,12,2.6583
sudden,4,13,1.7442
sudden,4,14,2.4586
sudden,4,15,2.4071
sudden,4,16,2.1331
sudden,4,17,2.2497
sudden,4,18,1.5351
sudden,4,19,1.8072
sudden,4,20,1.8194
sudden,5,6,1.6563
sudden,5,7,1.2225
sudden,5,8,2.5987
sudden,5,9,1.7919
sudden,5,10,2.6945
sudden,5,11,2.3516
sudden,5,12,2.0008
sudden,5,13,1.0238
sudden,5,14,2.1345
sudden,5,15,2.5075
sudden,5,16,2.1331
sudden,5,17,2.2397
sudden,5,18,1.6663
sudden,5,19,1.8071
sudden,5,20,0.8682
sudden,6,7,1.9201
sudden,6,8,1.9976
sudden,6,9,1.8832
sudden,6,10,1.5719
sudden,6,11,2.4882
sudden,6,12,1.7882
sudden,6,13,1.3124
sudden,6,14,1.3201
sudden,6,15,2.4494
sudden,6,16,1.9277
sudden,6,17,2.1805
sudden,6,18,1.4045
sudden,6,19,2.1076
sudden,6,20,1.5823
sudden,7,8,2.5825
sudden,7,9,2.4923
sudden,7,10,2.5892
sudden,7,11,2.2368
sudden,7,12,2.1148
sudden,7,13,1.0077
sudden,7,14,2.1167
sudden,7,15,2.0553
sudden,7,16,1.7244
sudden,7,17,2.8299
sudden,7,18,2.0479
sudden,7,19,2.3812
sudden,7,20,1.6485
sudden,8,9,2.9266
sudden,8,10,1.8796
sudden,8,11,2.4844
sudden,8,12,2.4044
sudden,8,13,2.1747
sudden,8,14,1.9398
sudden,8,15,1.8701
sudden,8,16,2.6827
sudden,8,17,2.7736
sudden,8,18,1.8624
sudden,8,19,2.3157
sudden,8,20,2.4776
sudden,9,10,3.1716
sudden,9,11,2.5934
sudden,9,12,2.5051
sudden,9,13,2.058
sudden,9,14,2.1792
sudden,9,15,3.0074
sudden,9,16,2.9615
sudden,9,17,2.7822
sudden,9,18,1.5858
sudden,9,19,2.115
sudden,9,20,1.2132
sudden,10,11,2.8743
sudden,10,12,2.3871
sudden,10,13,2.4015
sudden,10,14,1.8105
sudden,10,15,2.3502
sudden,10,16,2.2831
sudden,10,17,2.8819
sudden,10,18,2.3496
sudden,10,19,3.07
sudden,10,20,2.7485
sudden,11,12,3.2471
sudden,11,13,2.242
sudden,11,14,2.2082
sudden,11,15,1.9306
sudden,11,16,1.7327
sudden,11,17,2.5471
sudden,11,18,1.4951
sudden,11,19,1.9125
sudden,11,20,2.2845
sudden,12,13,1.8622
sudden,12,14,2.3617
sudden,12,15,2.9677
sudden,12,16,2.9119
sudden,12,17,3.0901
