cell,n_informative,concept_a,concept_b,l2,l2_std,n_reps
ninf3_sudden,3,0,1,0.8557,0.1327,5
ninf3_sudden,3,0,2,0.9614,0.274,5
ninf3_sudden,3,0,3,0.9097,0.3472,5
ninf3_sudden,3,0,4,0.8888,0.2289,5
ninf3_sudden,3,0,5,0.9159,0.2299,5
ninf3_sudden,3,0,6,0.8829,0.2621,5
ninf3_sudden,3,0,7,0.8098,0.2049,5
ninf3_sudden,3,0,8,0.972,0.3081,5
ninf3_sudden,3,0,9,1.0793,0.1362,5
ninf3_sudden,3,0,10,0.8433,0.1955,5
ninf3_sudden,3,0,11,0.836,0.2181,5
ninf3_sudden,3,0,12,0.9023,0.175,5
ninf3_sudden,3,0,13,0.9139,0.1149,5
ninf3_sudden,3,0,14,0.8497,0.2719,5
ninf3_sudden,3,0,15,0.8015,0.0783,5
ninf3_sudden,3,0,16,0.9734,0.1011,5
ninf3_sudden,3,0,17,0.909,0.1434,5
ninf3_sudden,3,0,18,0.9418,0.2386,5
ninf3_sudden,3,0,19,0.8453,0.177,5
ninf3_sudden,3,0,20,0.8043,0.0746,5
ninf3_sudden,3,1,2,0.8323,0.2368,5
ninf3_sudden,3,1,3,0.8469,0.2874,5
ninf3_sudden,3,1,4,0.7925,0.2678,5
ninf3_sudden,3,1,5,0.7199,0.3643,5
ninf3_sudden,3,1,6,0.7681,0.143,5
ninf3_sudden,3,1,7,0.8158,0.3006,5
ninf3_sudden,3,1,8,0.8785,0.1649,5
ninf3_sudden,3,1,9,1.0826,0.2796,5
ninf3_sudden,3,1,10,0.8368,0.0643,5
ninf3_sudden,3,1,11,0.8683,0.2113,5
ninf3_sudden,3,1,12,0.7904,0.2803,5
ninf3_sudden,3,1,13,0.8057,0.2255,5
ninf3_sudden,3,1,14,0.7921,0.1733,5
ninf3_sudden,3,1,15,0.6895,0.169,5
ninf3_sudden,3,1,16,0.9179,0.2438,5
ninf3_sudden,3,1,17,0.7558,0.1661,5
ninf3_sudden,3,1,18,0.9864,0.181,5
ninf3_sudden,3,1,19,0.8279,0.1101,5
ninf3_sudden,3,1,20,0.6949,0.174,5
ninf3_sudden,3,2,3,0.8665,0.4438,5
ninf3_sudden,3,2,4,0.6703,0.5539,5
ninf3_sudden,3,2,5,0.8612,0.2454,5
ninf3_sudden,3,2,6,0.9553,0.212,5
ninf3_sudden,3,2,7,0.807,0.3997,5
ninf3_sudden,3,2,8,0.8902,0.2571,5
ninf3_sudden,3,2,9,1.0872,0.1304,5
ninf3_sudden,3,2,10,0.95,0.2369,5
ninf3_sudden,3,2,11,0.9119,0.1447,5
ninf3_sudden,3,2,12,0.8782,0.2755,5
ninf3_sudden,3,2,13,0.8109,0.3056,5
ninf3_sudden,3,2,14,0.886,0.1321,5
