stream;n_informative;n_features;drift_type;chunk_size;n_concepts;random_baseline;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
stream-learn;3;20;sudden;100;21;0,0476;Raw + temporal / KNN;0,7497;clustering / MLP;0,7893;HT;0,9872;-0,0397;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2730;Aggstats;0,6662;statistical;0,9853;0,7497;Raw + temporal;0,4912;statistical;0,9674;0,5504;Raw scores;0,7576;statistical;0,9872;0,6641;Aggstats;0,7893;clustering;0,7166
stream-learn;5;20;sudden;100;21;0,0476;Raw + temporal / KNN;0,8131;statistical / HT;0,7815;HT;0,9910;0,0315;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3032;Aggstats;0,7554;statistical;0,9891;0,8131;Raw + temporal;0,4736;statistical;0,9613;0,6413;Raw + temporal;0,7815;statistical;0,9910;0,6039;Aggstats;0,7509;clustering;0,8428
stream-learn;10;20;sudden;100;21;0,0476;Raw scores / KNN;0,8622;statistical / HT;0,7142;HT;0,9925;0,1479;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2857;Aggstats;0,7110;statistical;0,9914;0,8622;Raw scores;0,4258;statistical;0,9595;0,6886;Raw + temporal;0,7142;statistical;0,9925;0,6102;Raw + temporal;0,6959;model-based;0,8907
stream-learn;15;20;sudden;100;21;0,0476;Raw scores / KNN;0,8406;model-based / MLP;0,6970;HT;0,9926;0,1435;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,2625;Aggstats;0,6507;statistical;0,9910;0,8406;Raw scores;0,4059;statistical;0,9638;0,6027;Raw + temporal;0,6556;statistical;0,9926;0,6374;Aggstats;0,6970;model-based;0,8981
stream-learn;3;20;sudden;200;21;0,0476;Raw + temporal / KNN;0,8325;statistical / HT;0,9045;HT;0,9895;-0,0720;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3745;Raw + temporal;0,7947;statistical;0,9871;0,8325;Raw + temporal;0,6672;landmarking;0,9576;0,7166;Raw + temporal;0,9045;statistical;0,9895;0,6837;Aggstats;0,8035;clustering;0,6132
stream-learn;5;20;sudden;200;21;0,0476;Raw + temporal / KNN;0,8854;statistical / HT;0,9170;HT;0,9918;-0,0315;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3986;Raw + temporal;0,8435;statistical;0,9907;0,8854;Raw + temporal;0,5891;statistical;0,9552;0,7337;Raw + temporal;0,9170;statistical;0,9918;0,6661;Raw + temporal;0,7811;clustering;0,8195
stream-learn;10;20;sudden;200;21;0,0476;Raw scores / KNN;0,9281;statistical / HT;0,8597;HT;0,9936;0,0684;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3170;Aggstats;0,7973;statistical;0,9918;0,9281;Raw scores;0,5390;statistical;0,9661;0,7476;Raw + temporal;0,8597;statistical;0,9936;0,6857;Raw + temporal;0,8037;clustering;0,8991
stream-learn;15;20;sudden;200;21;0,0476;Raw scores / KNN;0,9182;statistical / HT;0,8018;HT;0,9936;0,1164;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,3242;Aggstats;0,6500;statistical;0,9915;0,9182;Raw scores;0,5164;statistical;0,9654;0,7367;Raw + temporal;0,8018;statistical;0,9936;0,6359;Raw + temporal;0,7604;clustering;0,8868
stream-learn;3;20;sudden;500;21;0,0476;Raw + temporal / KNN;0,8644;statistical / HT;0,9773;HT;0,9915;-0,1129;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,4616;Aggstats;0,9566;statistical;0,9887;0,8644;Raw + temporal;0,8101;landmarking;0,9627;0,7909;Raw + temporal;0,9773;statistical;0,9915;0,6674;Raw + temporal;0,8248;clustering;0,6231
stream-learn;5;20;sudden;500;21;0,0476;Raw + temporal / KNN;0,9296;statistical / HT;0,9805;HT;0,9935;-0,0509;77,2510;0,2900;122,9100;0,6100;0,1080;0,0500;0,5827;Raw + temporal;0,9601;statistical;0,9914;0,9296;Raw + temporal;0,7656;landmarking;0,9503;0,8609;Raw + temporal;0,9805;statistical;0,9935;0,7331;Raw + temporal;0,7802;clustering;0,8360
