cell;vanilla_ba;abfs_best_ba;komor_best_ba
chunk100_ninf3_sudden;0,9872;0,7497;0,7893
chunk100_ninf5_sudden;0,9910;0,8131;0,7815
chunk100_ninf10_sudden;0,9925;0,8622;0,7142
chunk100_ninf15_sudden;0,9926;0,8406;0,6970
chunk200_ninf3_sudden;0,9895;0,8325;0,9045
chunk200_ninf5_sudden;0,9918;0,8854;0,9170
chunk200_ninf10_sudden;0,9936;0,9281;0,8597
chunk200_ninf15_sudden;0,9936;0,9182;0,8018
chunk500_ninf3_sudden;0,9915;0,8644;0,9773
chunk500_ninf5_sudden;0,9935;0,9296;0,9805
chunk500_ninf10_sudden;0,9938;0,9400;0,9713
chunk500_ninf15_sudden;0,9941;0,9433;0,9504
chunk1000_ninf3_sudden;0,9926;0,8936;0,9871
chunk1000_ninf5_sudden;0,9937;0,9182;0,9904
chunk1000_ninf10_sudden;0,9945;0,9499;0,9858
chunk1000_ninf15_sudden;0,9944;0,9515;0,9812
chunk100_ninf3_gradual;0,6818;0,5099;0,5961
chunk100_ninf5_gradual;0,8026;0,5751;0,5606
chunk100_ninf10_gradual;0,8767;0,5560;0,5724
chunk100_ninf15_gradual;0,8740;0,5010;0,6108
chunk200_ninf3_gradual;0,7665;0,5701;0,6288
chunk200_ninf5_gradual;0,8740;0,5391;0,6696
chunk200_ninf10_gradual;0,9179;0,5274;0,7067
chunk200_ninf15_gradual;0,9147;0,5732;0,6835
chunk500_ninf3_gradual;0,8657;0,6081;0,7963
chunk500_ninf5_gradual;0,9234;0,5803;0,8504
chunk500_ninf10_gradual;0,9500;0,5930;0,8863
chunk500_ninf15_gradual;0,9480;0,5927;0,8751
chunk1000_ninf3_gradual;0,9034;0,6549;0,8634
chunk1000_ninf5_gradual;0,9441;0,6832;0,8951
chunk1000_ninf10_gradual;0,9604;0,6840;0,9163
chunk1000_ninf15_gradual;0,9574;0,6753;0,9161
