cell;method;n_concepts;rep;l2_min;l2_max;l2_mean
sea_chunk100_sudden;ReMF_aggstats;4;1233;5712,9347;33865,7408;17885,0262
sea_chunk100_sudden;ReMF_raw;4;1233;0,0376;0,4749;0,2767
sea_chunk100_sudden;ReMF_raw_temporal;4;1233;0,0518;0,4777;0,3018
sea_chunk100_sudden;vanilla;4;1233;0,0211;0,0367;0,0283
sea_chunk100_sudden;raw_features;4;1233;0,0197;0,0363;0,0272
sea_chunk100_sudden;komorniczak_statistical;4;1233;0,1142;1,1172;0,6369
sea_chunk100_gradual;ReMF_aggstats;4;1233;50,6881;13123,3792;6570,1377
sea_chunk100_gradual;ReMF_raw;4;1233;0,0307;0,4229;0,2492
sea_chunk100_gradual;ReMF_raw_temporal;4;1233;0,0485;0,4300;0,2739
sea_chunk100_gradual;vanilla;4;1233;0,0119;0,0976;0,0576
sea_chunk100_gradual;raw_features;4;1233;0,0094;0,0249;0,0186
sea_chunk100_gradual;komorniczak_statistical;4;1233;0,1325;1,0445;0,7004
stagger_chunk100_sudden;ReMF_aggstats;3;1233;6187,1040;12433,0624;8288,7083
stagger_chunk100_sudden;ReMF_raw;3;1233;0,0000;0,1120;0,0747
stagger_chunk100_sudden;ReMF_raw_temporal;3;1233;0,0001;0,1120;0,0747
stagger_chunk100_sudden;vanilla;3;1233;0,0030;0,0080;0,0060
stagger_chunk100_sudden;raw_features;3;1233;0,0023;0,0078;0,0054
stagger_chunk100_sudden;komorniczak_complexity;3;1233;0,7844;1,0376;0,8944
stagger_chunk100_gradual;ReMF_aggstats;3;1233;1552,9088;3408,4416;2272,2944
stagger_chunk100_gradual;ReMF_raw;3;1233;0,0000;0,0160;0,0107
stagger_chunk100_gradual;ReMF_raw_temporal;3;1233;0,0000;0,0160;0,0107
stagger_chunk100_gradual;vanilla;3;1233;0,0024;0,0157;0,0107
stagger_chunk100_gradual;raw_features;3;1233;0,0016;0,0029;0,0021
stagger_chunk100_gradual;komorniczak_complexity;3;1233;0,7147;0,9887;0,8389
led_chunk100_sudden;ReMF_aggstats;4;1233;298,2017;21168,0128;10958,7499
led_chunk100_sudden;ReMF_raw;4;1233;0,2459;0,4737;0,3703
led_chunk100_sudden;ReMF_raw_temporal;4;1233;0,2473;0,4741;0,3707
led_chunk100_sudden;vanilla;4;1233;0,4283;0,7664;0,5816
led_chunk100_sudden;raw_features;4;1233;0,4164;0,7339;0,5592
led_chunk100_sudden;komorniczak_general;4;1233;0,0000;0,0005;0,0003
led_chunk100_gradual;ReMF_aggstats;4;1233;2026,8673;34849,9328;17762,7776
led_chunk100_gradual;ReMF_raw;4;1233;0,2578;0,4537;0,3922
led_chunk100_gradual;ReMF_raw_temporal;4;1233;0,2582;0,4546;0,3928
led_chunk100_gradual;vanilla;4;1233;0,4096;0,6903;0,6125
led_chunk100_gradual;raw_features;4;1233;0,3959;0,6603;0,5859
led_chunk100_gradual;komorniczak_general;4;1233;0,0001;2,4000;1,2002
