cell;concept;f0;f1;f2;f3;f4;f5;f6;f7;f8;f9;f10;f11;f12;f13;f14;f15;f16;f17;f18;f19;f20;f21;f22;f23
sea_chunk100_sudden;0;4,9919;4,9997;5,0009;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_sudden;1;5,0062;4,9878;5,0082;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_sudden;2;5,0223;4,9977;4,9981;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_sudden;3;4,9933;5,0194;5,0005;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_gradual;0;4,9919;4,9997;5,0009;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_gradual;1;5,0079;4,9897;5,0058;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_gradual;2;5,0054;4,9981;5,0093;;;;;;;;;;;;;;;;;;;;;
sea_chunk100_gradual;3;5,0056;5,0090;4,9902;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_sudden;0;1,0013;0,9976;1,0018;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_sudden;1;0,9991;0,9981;1,0012;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_sudden;2;0,9957;1,0030;1,0018;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_gradual;0;1,0010;0,9981;1,0012;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_gradual;1;0,9984;0,9989;1,0024;;;;;;;;;;;;;;;;;;;;;
stagger_chunk100_gradual;2;0,9997;0,9994;1,0015;;;;;;;;;;;;;;;;;;;;;
led_chunk100_sudden;0;0,7450;0,5807;0,5009;0,5011;0,5021;0,4999;0,4994;0,5003;0,4994;0,4984;0,4972;0,5010;0,7457;0,5013;0,4998;0,5009;0,5013;0,6646;0,4157;0,8271;0,6628;0,4987;0,5017;0,5008
led_chunk100_sudden;1;0,7469;0,5815;0,4992;0,4988;0,4993;0,5004;0,5005;0,5008;0,5014;0,4987;0,4969;0,4977;0,5009;0,4994;0,4992;0,7464;0,6630;0,5004;0,4202;0,8277;0,6642;0,5008;0,4998;0,5003
led_chunk100_sudden;2;0,5001;0,5008;0,4999;0,5004;0,4977;0,5005;0,4957;0,4991;0,4990;0,7479;0,5793;0,7451;0,4998;0,6625;0,5018;0,5008;0,4984;0,4997;0,4187;0,8274;0,6626;0,4982;0,5005;0,5015
led_chunk100_sudden;3;0,4967;0,5008;0,4987;0,5001;0,5019;0,4979;0,5010;0,4968;0,4996;0,7467;0,5834;0,7467;0,4978;0,6657;0,4194;0,8268;0,5026;0,5007;0,5001;0,5018;0,6642;0,4991;0,4997;0,4984
led_chunk100_gradual;0;0,7450;0,5807;0,5009;0,5011;0,5021;0,4999;0,4994;0,5003;0,4994;0,4984;0,4972;0,5010;0,7457;0,5013;0,4998;0,5009;0,5013;0,6646;0,4157;0,8271;0,6628;0,4987;0,5017;0,5008
led_chunk100_gradual;1;0,7471;0,5813;0,4991;0,4985;0,4989;0,4997;0,5002;0,5013;0,5016;0,4990;0,4972;0,4980;0,5135;0,4992;0,4996;0,7345;0,6547;0,5079;0,4197;0,8274;0,6638;0,5004;0,4999;0,5004
led_chunk100_gradual;2;0,7337;0,5821;0,5017;0,5007;0,4995;0,5001;0,4989;0,4989;0,5020;0,5001;0,7365;0,6636;0,5116;0,4352;0,8105;0,5023;0,5013;0,5052;0,4955;0,5182;0,6565;0,5007;0,4974;0,5009
led_chunk100_gradual;3;0,7462;0,4992;0,4976;0,5013;0,4984;0,5781;0,7355;0,6546;0,4220;0,8114;0,6552;0,4982;0,5005;0,4982;0,4982;0,4996;0,4991;0,5003;0,4992;0,5171;0,5069;0,5034;0,5118;0,5095
