stream;n_features;drift_type;chunk_size;n_segments;n_concepts;random_baseline;n_instances;instances_per_segment;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
sea;3;sudden;100;4;4;0,2500;500000;125000;Aggstats / MLP;0,9833;statistical / MLP;0,9954;MLP;0,9909;-0,0121;9,6570;0,0500;;;0,1000;0,0100;0,9046;Aggstats;0,8128;concept;0,2706;0,9372;Aggstats;0,9418;complexity;0,6975;0,8193;Raw + temporal;0,9029;general;0,2704;0,9833;Aggstats;0,9954;statistical;0,9909
sea;3;sudden;200;4;4;0,2500;500000;125000;Aggstats / MLP;0,9795;statistical / MLP;0,9902;MLP;0,9806;-0,0107;9,6570;0,0500;;;0,1000;0,0100;0,8215;Raw + temporal;0,8769;complexity;0,2793;0,7610;Raw + temporal;0,8920;complexity;0,4496;0,8587;Raw + temporal;0,9009;general;0,2789;0,9795;Aggstats;0,9902;statistical;0,9806
sea;3;sudden;500;4;4;0,2500;500000;125000;Aggstats / MLP;0,9658;statistical / MLP;0,9720;MLP;0,9422;-0,0062;9,6570;0,0500;;;0,1000;0,0100;0,7616;Aggstats;0,9428;complexity;0,2916;0,6834;Raw + temporal;0,9186;general;0,3642;0,8838;Raw + temporal;0,9414;complexity;0,2906;0,9658;Aggstats;0,9720;statistical;0,9422
sea;3;gradual;100;4;4;0,2500;500000;125000;Aggstats / MLP;0,9938;statistical / MLP;0,9952;MLP;0,9910;-0,0015;9,6570;0,0500;;;0,1000;0,0100;0,7638;Aggstats;0,6581;concept;0,3191;0,9677;Aggstats;0,9380;complexity;0,7212;0,6992;Raw + temporal;0,8927;clustering;0,3189;0,9938;Aggstats;0,9952;statistical;0,9910
sea;3;gradual;200;4;4;0,2500;500000;125000;Aggstats / MLP;0,9869;statistical / MLP;0,9900;MLP;0,9806;-0,0031;9,6570;0,0500;;;0,1000;0,0100;0,7592;Aggstats;0,7210;concept;0,3140;0,7189;Raw + temporal;0,8647;complexity;0,4506;0,7384;Raw + temporal;0,8742;general;0,3136;0,9869;Aggstats;0,9900;statistical;0,9806
sea;3;gradual;500;4;4;0,2500;500000;125000;Aggstats / MLP;0,9656;statistical / MLP;0,9728;MLP;0,9430;-0,0072;9,6570;0,0500;;;0,1000;0,0100;0,7548;Aggstats;0,8322;concept;0,3070;0,6616;Raw + temporal;0,8792;complexity;0,3746;0,7560;Raw + temporal;0,8596;general;0,3062;0,9656;Aggstats;0,9728;statistical;0,9430
stagger;3;sudden;100;4;3;0,3333;500000;125000;Aggstats / MLP;0,9905;complexity / HT;0,9990;MLP;0,9816;-0,0086;9,6570;0,0500;;;0,1000;0,0100;0,5877;Aggstats;0,9874;info-theory;0,3456;0,9591;Aggstats;0,9985;complexity;0,6648;0,6892;Aggstats;0,9990;complexity;0,3468;0,9905;Aggstats;0,9949;general;0,9816
stagger;3;sudden;200;4;3;0,3333;500000;125000;Aggstats / MLP;0,9790;complexity / HT;0,9981;MLP;0,9535;-0,0191;9,6570;0,0500;;;0,1000;0,0100;0,5290;Aggstats;0,9978;info-theory;0,3475;0,4389;Raw + temporal;0,9980;complexity;0,3870;0,5248;Aggstats;0,9981;complexity;0,3502;0,9790;Aggstats;0,9907;concept;0,9535
stagger;3;sudden;500;4;3;0,3333;500000;125000;Aggstats / MLP;0,9397;complexity / KNN;0,9957;MLP;0,8717;-0,0560;9,6570;0,0500;;;0,1000;0,0100;0,5309;Aggstats;0,9947;clustering;0,3516;0,3936;Raw scores;0,9957;complexity;0,3637;0,3612;Aggstats;0,9955;clustering;0,3561;0,9397;Aggstats;0,9760;concept;0,8717
stagger;3;gradual;100;4;3;0,3333;500000;125000;Aggstats / KNN;0,9807;complexity / KNN;0,9969;MLP;0,9822;-0,0162;9,6570;0,0500;;;0,1000;0,0100;0,6406;Aggstats;0,9802;complexity;0,3831;0,9807;Aggstats;0,9969;complexity;0,6917;0,6140;Aggstats;0,9912;landmarking;0,3829;0,9761;Aggstats;0,9949;general;0,9822
stagger;3;gradual;200;4;3;0,3333;500000;125000;Aggstats / MLP;0,9630;concept / MLP;0,9905;MLP;0,9597;-0,0275;9,6570;0,0500;;;0,1000;0,0100;0,6118;Aggstats;0,9799;info-theory;0,3769;0,4105;Raw scores;0,9766;complexity;0,3897;0,3724;Raw + temporal;0,9814;info-theory;0,3763;0,9630;Aggstats;0,9905;concept;0,9597
stagger;3;gradual;500;4;3;0,3333;500000;125000;Aggstats / MLP;0,9365;info-theory / GNB;0,9775;MLP;0,8873;-0,0409;9,6570;0,0500;;;0,1000;0,0100;0,6952;Aggstats;0,9775;info-theory;0,3697;0,3821;Raw + temporal;0,9623;complexity;0,3725;0,3647;Raw + temporal;0,9759;info-theory;0,3692;0,9365;Aggstats;0,9733;concept;0,8873
led;24;sudden;100;4;4;0,2500;500000;125000;Aggstats / MLP;0,9904;general / MLP;0,9946;HT;0,9974;-0,0042;108,7490;0,9700;;;0,1130;0,0600;0,9316;Raw scores;0,5423;statistical;0,9971;0,9695;Aggstats;0,7414;general;0,9972;0,9550;Raw scores;0,6035;statistical;0,9974;0,9904;Aggstats;0,9946;general;0,9888
led;24;sudden;200;4;4;0,2500;500000;125000;Aggstats / MLP;0,9818;model-based / MLP;0,9929;HT;0,9968;-0,0110;108,7490;0,9700;;;0,1130;0,0600;0,9541;Raw scores;0,4048;complexity;0,9963;0,9808;Raw scores;0,5094;general;0,9966;0,9757;Raw + temporal;0,5060;model-based;0,9968;0,9818;Aggstats;0,9929;model-based;0,9739
led;24;sudden;500;4;4;0,2500;500000;125000;Raw scores / HT;0,9944;model-based / MLP;0,9878;HT;0,9942;0,0066;108,7490;0,9700;;;0,1130;0,0600;0,9236;Raw scores;0,4542;model-based;0,9920;0,9896;Raw scores;0,4754;complexity;0,9926;0,9944;Raw scores;0,5172;model-based;0,9942;0,9608;Aggstats;0,9878;model-based;0,9224
led;24;gradual;100;4;4;0,2500;500000;125000;Aggstats / MLP;0,9788;general / MLP;0,9942;KNN;0,9915;-0,0154;108,7490;0,9700;;;0,1130;0,0600;0,8801;Raw + temporal;0,5946;statistical;0,9630;0,9452;Raw scores;0,7661;general;0,9915;0,9188;Raw + temporal;0,6104;model-based;0,9863;0,9788;Aggstats;0,9942;general;0,9880
led;24;gradual;200;4;4;0,2500;500000;125000;Raw + temporal / HT;0,9609;model-based / MLP;0,9930;HT;0,9922;-0,0321;108,7490;0,9700;;;0,1130;0,0600;0,9328;Raw + temporal;0,5722;statistical;0,9794;0,9537;Raw scores;0,4988;general;0,9863;0,9609;Raw + temporal;0,5833;general;0,9922;0,9481;Raw + temporal;0,9930;model-based;0,9725
led;24;gradual;500;4;4;0,2500;500000;125000;Raw + temporal / HT;0,9766;model-based / MLP;0,9878;HT;0,9938;-0,0112;108,7490;0,9700;;;0,1130;0,0600;0,9176;Raw + temporal;0,5530;itemset;0,9900;0,9678;Raw scores;0,4616;complexity;0,9856;0,9766;Raw + temporal;0,6350;general;0,9938;0,9398;Aggstats;0,9878;model-based;0,9212
