drift_type;vanilla_ba;emf_best_ba;komorniczak_best_ba
sea_chunk100_sudden;0,9909;0,9833;0,9954
sea_chunk200_sudden;0,9806;0,9795;0,9902
sea_chunk500_sudden;0,9422;0,9658;0,9720
sea_chunk100_gradual;0,9910;0,9938;0,9952
sea_chunk200_gradual;0,9806;0,9869;0,9900
sea_chunk500_gradual;0,9430;0,9656;0,9728
stagger_chunk100_sudden;0,9816;0,9905;0,9990
stagger_chunk200_sudden;0,9535;0,9790;0,9981
stagger_chunk500_sudden;0,8717;0,9397;0,9957
stagger_chunk100_gradual;0,9822;0,9807;0,9969
stagger_chunk200_gradual;0,9597;0,9630;0,9905
stagger_chunk500_gradual;0,8873;0,9365;0,9775
led_chunk100_sudden;0,9974;0,9904;0,9946
led_chunk200_sudden;0,9968;0,9818;0,9929
led_chunk500_sudden;0,9942;0,9944;0,9878
led_chunk100_gradual;0,9915;0,9788;0,9942
led_chunk200_gradual;0,9922;0,9609;0,9930
led_chunk500_gradual;0,9938;0,9766;0,9878
