cell;concept_a;concept_b;l2;l2_std;n_reps
sea_chunk100_ndrift1_sudden;0;1;0,0097;0,0044;5
sea_chunk100_ndrift3_sudden;0;1;0,0160;0,0054;5
sea_chunk100_ndrift3_sudden;0;2;0,0228;0,0068;5
sea_chunk100_ndrift3_sudden;0;3;0,0176;0,0036;5
sea_chunk100_ndrift3_sudden;1;2;0,0168;0,0052;5
sea_chunk100_ndrift3_sudden;1;3;0,0211;0,0090;5
sea_chunk100_ndrift3_sudden;2;3;0,0201;0,0106;5
sea_chunk100_ndrift7_sudden;0;1;0,0191;0,0075;5
sea_chunk100_ndrift7_sudden;0;2;0,0236;0,0068;5
sea_chunk100_ndrift7_sudden;0;3;0,0141;0,0061;5
sea_chunk100_ndrift7_sudden;1;2;0,0209;0,0044;5
sea_chunk100_ndrift7_sudden;1;3;0,0221;0,0070;5
sea_chunk100_ndrift7_sudden;2;3;0,0224;0,0069;5
sea_chunk100_ndrift15_sudden;0;1;0,0267;0,0083;5
sea_chunk100_ndrift15_sudden;0;2;0,0168;0,0082;5
sea_chunk100_ndrift15_sudden;0;3;0,0187;0,0062;5
sea_chunk100_ndrift15_sudden;1;2;0,0205;0,0080;5
sea_chunk100_ndrift15_sudden;1;3;0,0189;0,0091;5
sea_chunk100_ndrift15_sudden;2;3;0,0109;0,0019;5
sea_chunk100_ndrift1_gradual;0;1;0,0086;0,0051;5
sea_chunk100_ndrift3_gradual;0;1;0,0161;0,0052;5
sea_chunk100_ndrift3_gradual;0;2;0,0199;0,0041;5
sea_chunk100_ndrift3_gradual;0;3;0,0174;0,0069;5
sea_chunk100_ndrift3_gradual;1;2;0,0186;0,0060;5
sea_chunk100_ndrift3_gradual;1;3;0,0172;0,0045;5
sea_chunk100_ndrift3_gradual;2;3;0,0174;0,0067;5
sea_chunk100_ndrift7_gradual;0;1;0,0179;0,0053;5
sea_chunk100_ndrift7_gradual;0;2;0,0153;0,0067;5
sea_chunk100_ndrift7_gradual;0;3;0,0211;0,0027;5
sea_chunk100_ndrift7_gradual;1;2;0,0124;0,0054;5
sea_chunk100_ndrift7_gradual;1;3;0,0185;0,0050;5
sea_chunk100_ndrift7_gradual;2;3;0,0195;0,0050;5
sea_chunk100_ndrift15_gradual;0;1;0,0232;0,0054;5
sea_chunk100_ndrift15_gradual;0;2;0,0195;0,0125;5
sea_chunk100_ndrift15_gradual;0;3;0,0186;0,0121;5
sea_chunk100_ndrift15_gradual;1;2;0,0247;0,0039;5
sea_chunk100_ndrift15_gradual;1;3;0,0174;0,0041;5
sea_chunk100_ndrift15_gradual;2;3;0,0162;0,0034;5
stagger_chunk100_ndrift1_sudden;0;1;0,0037;0,0017;5
stagger_chunk100_ndrift3_sudden;0;1;0,0052;0,0016;5
stagger_chunk100_ndrift3_sudden;0;2;0,0048;0,0019;5
stagger_chunk100_ndrift3_sudden;1;2;0,0063;0,0027;5
stagger_chunk100_ndrift7_sudden;0;1;0,0045;0,0018;5
stagger_chunk100_ndrift7_sudden;0;2;0,0039;0,0017;5
stagger_chunk100_ndrift7_sudden;1;2;0,0049;0,0025;5
stagger_chunk100_ndrift15_sudden;0;1;0,0048;0,0014;5
stagger_chunk100_ndrift15_sudden;0;2;0,0053;0,0020;5
stagger_chunk100_ndrift15_sudden;1;2;0,0057;0,0020;5
stagger_chunk100_ndrift1_gradual;0;1;0,0035;0,0011;5
stagger_chunk100_ndrift3_gradual;0;1;0,0042;0,0011;5
stagger_chunk100_ndrift3_gradual;0;2;0,0032;0,0010;5
stagger_chunk100_ndrift3_gradual;1;2;0,0046;0,0019;5
stagger_chunk100_ndrift7_gradual;0;1;0,0044;0,0019;5
stagger_chunk100_ndrift7_gradual;0;2;0,0036;0,0017;5
stagger_chunk100_ndrift7_gradual;1;2;0,0036;0,0011;5
stagger_chunk100_ndrift15_gradual;0;1;0,0041;0,0021;5
stagger_chunk100_ndrift15_gradual;0;2;0,0033;0,0009;5
stagger_chunk100_ndrift15_gradual;1;2;0,0054;0,0013;5
