cell;concept;f0;f1;f2
sea_chunk100_ndrift1_sudden;0;4,9970;5,0059;5,0064
sea_chunk100_ndrift1_sudden;1;5,0031;4,9971;5,0015
sea_chunk100_ndrift3_sudden;0;4,9919;4,9997;5,0009
sea_chunk100_ndrift3_sudden;1;5,0062;4,9878;5,0082
sea_chunk100_ndrift3_sudden;2;5,0223;4,9977;4,9981
sea_chunk100_ndrift3_sudden;3;4,9933;5,0194;5,0005
sea_chunk100_ndrift7_sudden;0;4,9897;5,0024;5,0101
sea_chunk100_ndrift7_sudden;1;4,9991;4,9945;5,0105
sea_chunk100_ndrift7_sudden;2;5,0123;4,9971;4,9902
sea_chunk100_ndrift7_sudden;3;4,9944;5,0094;5,0032
sea_chunk100_ndrift15_sudden;0;4,9864;4,9979;5,0057
sea_chunk100_ndrift15_sudden;1;5,0110;4,9937;5,0093
sea_chunk100_ndrift15_sudden;2;5,0000;5,0074;4,9976
sea_chunk100_ndrift15_sudden;3;4,9922;5,0096;5,0031
sea_chunk100_ndrift1_gradual;0;4,9970;5,0059;5,0064
sea_chunk100_ndrift1_gradual;1;5,0039;4,9982;5,0000
sea_chunk100_ndrift3_gradual;0;4,9919;4,9997;5,0009
sea_chunk100_ndrift3_gradual;1;5,0079;4,9897;5,0058
sea_chunk100_ndrift3_gradual;2;5,0054;4,9981;5,0093
sea_chunk100_ndrift3_gradual;3;5,0056;5,0090;4,9902
sea_chunk100_ndrift7_gradual;0;4,9901;5,0008;5,0035
sea_chunk100_ndrift7_gradual;1;5,0024;4,9958;4,9969
sea_chunk100_ndrift7_gradual;2;4,9954;4,9897;5,0016
sea_chunk100_ndrift7_gradual;3;5,0026;5,0074;4,9906
sea_chunk100_ndrift15_gradual;0;4,9943;5,0028;5,0101
sea_chunk100_ndrift15_gradual;1;4,9998;4,9898;5,0108
sea_chunk100_ndrift15_gradual;2;5,0004;5,0037;4,9908
sea_chunk100_ndrift15_gradual;3;4,9923;5,0056;5,0106
stagger_chunk100_ndrift1_sudden;0;0,9991;0,9987;0,9994
stagger_chunk100_ndrift1_sudden;1;0,9984;0,9999;1,0004
stagger_chunk100_ndrift3_sudden;0;1,0013;0,9976;1,0018
stagger_chunk100_ndrift3_sudden;1;0,9991;0,9981;1,0012
stagger_chunk100_ndrift3_sudden;2;0,9957;1,0030;1,0018
stagger_chunk100_ndrift7_sudden;0;0,9997;0,9984;1,0009
stagger_chunk100_ndrift7_sudden;1;1,0024;0,9975;1,0005
stagger_chunk100_ndrift7_sudden;2;0,9985;1,0045;0,9978
stagger_chunk100_ndrift15_sudden;0;1,0025;0,9961;1,0021
stagger_chunk100_ndrift15_sudden;1;1,0053;0,9989;0,9982
stagger_chunk100_ndrift15_sudden;2;1,0003;1,0029;1,0018
stagger_chunk100_ndrift1_gradual;0;0,9991;0,9987;0,9994
stagger_chunk100_ndrift1_gradual;1;0,9979;1,0006;1,0012
stagger_chunk100_ndrift3_gradual;0;1,0010;0,9981;1,0012
stagger_chunk100_ndrift3_gradual;1;0,9984;0,9989;1,0024
stagger_chunk100_ndrift3_gradual;2;0,9997;0,9994;1,0015
stagger_chunk100_ndrift7_gradual;0;0,9987;0,9989;0,9999
stagger_chunk100_ndrift7_gradual;1;1,0008;0,9984;1,0012
stagger_chunk100_ndrift7_gradual;2;0,9990;0,9980;0,9992
stagger_chunk100_ndrift15_gradual;0;1,0029;1,0001;1,0015
stagger_chunk100_ndrift15_gradual;1;1,0022;0,9982;1,0008
stagger_chunk100_ndrift15_gradual;2;1,0013;1,0027;1,0017
