stream;n_drifts;n_features;drift_type;chunk_size;n_segments;n_concepts;recurs;random_baseline;n_instances;instances_per_segment;ReMF best (repr / clf);ReMF best BA;Komorniczak best (group / clf);Komorniczak best BA;vanilla best (clf);vanilla best BA;gap ReMF - Komorniczak (best vs best);ReMF time (ms/win);ReMF peak MB (rel.);Komorniczak time (ms/win);Komorniczak peak MB (rel.);Vanilla time (ms/win);Vanilla peak MB (rel.);ReMF GNB BA;ReMF GNB representation;Komorniczak GNB BA;Komorniczak GNB group;vanilla GNB BA;ReMF KNN BA;ReMF KNN representation;Komorniczak KNN BA;Komorniczak KNN group;vanilla KNN BA;ReMF HT BA;ReMF HT representation;Komorniczak HT BA;Komorniczak HT group;vanilla HT BA;ReMF MLP BA;ReMF MLP representation;Komorniczak MLP BA;Komorniczak MLP group;vanilla MLP BA
sea;1;3;sudden;100;2;2;no;0,5000;500000;250000;Aggstats / KNN;0,9975;general / MLP;0,9994;MLP;0,9980;-0,0019;10,4340;0,0500;;;0,1020;1,9200;0,9866;Aggstats;0,9079;complexity;0,5166;0,9975;Aggstats;0,9516;complexity;0,8986;0,9123;Raw + temporal;0,9767;itemset;0,7854;0,9918;Aggstats;0,9994;general;0,9980
sea;3;3;sudden;100;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9833;statistical / MLP;0,9954;MLP;0,9909;-0,0121;10,4340;0,0500;;;0,1020;1,9200;0,9046;Aggstats;0,8128;concept;0,2706;0,9386;Aggstats;0,9438;complexity;0,6976;0,8193;Raw + temporal;0,9029;general;0,2704;0,9833;Aggstats;0,9954;statistical;0,9909
sea;7;3;sudden;100;8;4;yes;0,2500;500000;62500;Aggstats / MLP;0,9677;concept / MLP;0,9826;MLP;0,9600;-0,0148;10,4340;0,0500;;;0,1020;1,9200;0,7082;Aggstats;0,7303;complexity;0,2705;0,6606;Raw + temporal;0,7672;complexity;0,3583;0,7195;Raw + temporal;0,7598;general;0,2701;0,9677;Aggstats;0,9826;concept;0,9600
sea;15;3;sudden;100;16;4;yes;0,2500;500000;31250;Aggstats / MLP;0,9389;concept / MLP;0,9458;MLP;0,8085;-0,0069;10,4340;0,0500;;;0,1020;1,9200;0,6584;Aggstats;0,6864;complexity;0,2689;0,3935;Raw + temporal;0,5031;complexity;0,1924;0,6578;Aggstats;0,7025;general;0,2681;0,9389;Aggstats;0,9458;concept;0,8085
sea;1;3;sudden;200;2;2;no;0,5000;500000;250000;Aggstats / KNN;0,9967;general / MLP;0,9988;MLP;0,9960;-0,0021;10,4340;0,0500;;;0,1020;1,9200;0,9354;Raw + temporal;0,9533;complexity;0,5240;0,9967;Aggstats;0,9603;complexity;0,7993;0,9840;Aggstats;0,9694;clustering;0,5236;0,9816;Aggstats;0,9988;general;0,9960
sea;3;3;sudden;200;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9795;statistical / MLP;0,9902;MLP;0,9806;-0,0107;10,4340;0,0500;;;0,1020;1,9200;0,8215;Raw + temporal;0,8768;complexity;0,2793;0,7667;Raw + temporal;0,8909;complexity;0,4498;0,8587;Raw + temporal;0,9009;general;0,2789;0,9795;Aggstats;0,9902;statistical;0,9806
sea;7;3;sudden;200;8;4;yes;0,2500;500000;62500;Aggstats / MLP;0,9543;concept / MLP;0,9663;MLP;0,9369;-0,0120;10,4340;0,0500;;;0,1020;1,9200;0,7086;Raw + temporal;0,8277;complexity;0,2766;0,5384;Raw + temporal;0,7206;complexity;0,2514;0,7801;Raw + temporal;0,8414;general;0,2758;0,9543;Aggstats;0,9663;concept;0,9369
sea;15;3;sudden;200;16;4;yes;0,2500;500000;31250;Aggstats / MLP;0,8766;concept / MLP;0,9258;MLP;0,6722;-0,0493;10,4340;0,0500;;;0,1020;1,9200;0,6265;Raw + temporal;0,8040;complexity;0,2703;0,5680;Raw + temporal;0,7791;complexity;0,2721;0,7007;Aggstats;0,8034;complexity;0,2690;0,8766;Aggstats;0,9258;concept;0,6722
sea;1;3;sudden;500;2;2;no;0,5000;500000;250000;Aggstats / MLP;0,9970;general / MLP;0,9970;MLP;0,9876;0,0000;10,4340;0,0500;;;0,1020;1,9200;0,9516;Raw + temporal;0,9876;complexity;0,5324;0,7958;Raw + temporal;0,9870;complexity;0,6086;0,9820;Aggstats;0,9864;complexity;0,5314;0,9970;Aggstats;0,9970;general;0,9876
sea;3;3;sudden;500;4;4;no;0,2500;500000;125000;Aggstats / MLP;0,9658;statistical / MLP;0,9720;MLP;0,9422;-0,0062;10,4340;0,0500;;;0,1020;1,9200;0,7616;Aggstats;0,9406;complexity;0,2916;0,6832;Raw + temporal;0,9188;general;0,3644;0,8838;Raw + temporal;0,9388;complexity;0,2906;0,9658;Aggstats;0,9720;statistical;0,9422
