cell,vanilla_ba,abfs_best_ba,komor_best_ba
sea_chunk100_ndrift1_sudden,0.998,0.998,0.999
sea_chunk100_ndrift3_sudden,0.991,0.983,0.995
sea_chunk100_ndrift7_sudden,0.96,0.968,0.983
sea_chunk100_ndrift15_sudden,0.809,0.939,0.946
sea_chunk200_ndrift1_sudden,0.996,0.997,0.999
sea_chunk200_ndrift3_sudden,0.981,0.98,0.99
sea_chunk200_ndrift7_sudden,0.937,0.954,0.966
sea_chunk200_ndrift15_sudden,0.672,0.877,0.926
sea_chunk500_ndrift1_sudden,0.988,0.997,0.997
sea_chunk500_ndrift3_sudden,0.942,0.966,0.972
sea_chunk500_ndrift7_sudden,0.838,0.89,0.93
sea_chunk500_ndrift15_sudden,0.551,0.838,0.916
sea_chunk100_ndrift1_gradual,0.998,0.997,0.999
sea_chunk100_ndrift3_gradual,0.991,0.994,0.995
sea_chunk100_ndrift7_gradual,0.962,0.982,0.982
sea_chunk100_ndrift15_gradual,0.814,0.888,0.939
sea_chunk200_ndrift1_gradual,0.996,0.994,0.999
sea_chunk200_ndrift3_gradual,0.981,0.987,0.99
sea_chunk200_ndrift7_gradual,0.937,0.967,0.964
sea_chunk200_ndrift15_gradual,0.714,0.917,0.91
sea_chunk500_ndrift1_gradual,0.987,0.997,0.997
sea_chunk500_ndrift3_gradual,0.943,0.966,0.973
sea_chunk500_ndrift7_gradual,0.837,0.924,0.909
sea_chunk500_ndrift15_gradual,0.552,0.834,0.862
stagger_chunk100_ndrift1_sudden,0.995,1.0,1.0
stagger_chunk100_ndrift3_sudden,0.982,0.99,0.999
stagger_chunk100_ndrift7_sudden,0.934,0.968,0.999
stagger_chunk100_ndrift15_sudden,0.765,0.928,0.998
stagger_chunk200_ndrift1_sudden,0.99,0.999,0.999
stagger_chunk200_ndrift3_sudden,0.953,0.979,0.998
stagger_chunk200_ndrift7_sudden,0.866,0.947,0.998
stagger_chunk200_ndrift15_sudden,0.542,0.879,0.996
stagger_chunk500_ndrift1_sudden,0.966,0.998,0.999
stagger_chunk500_ndrift3_sudden,0.872,0.94,0.995
stagger_chunk500_ndrift7_sudden,0.646,0.863,0.997
stagger_chunk500_ndrift15_sudden,0.349,0.675,0.994
stagger_chunk100_ndrift1_gradual,0.995,0.997,0.999
stagger_chunk100_ndrift3_gradual,0.982,0.98,0.997
stagger_chunk100_ndrift7_gradual,0.943,0.955,0.982
stagger_chunk100_ndrift15_gradual,0.788,0.92,0.948
stagger_chunk200_ndrift1_gradual,0.99,0.995,0.999
stagger_chunk200_ndrift3_gradual,0.96,0.963,0.991
stagger_chunk200_ndrift7_gradual,0.887,0.934,0.966
stagger_chunk200_ndrift15_gradual,0.621,0.865,0.95
stagger_chunk500_ndrift1_gradual,0.966,0.998,0.998
stagger_chunk500_ndrift3_gradual,0.887,0.937,0.977
stagger_chunk500_ndrift7_gradual,0.709,0.841,0.961
stagger_chunk500_ndrift15_gradual,0.354,0.673,0.949
