stream;method;n_concepts;l2_min;l2_max;l2_mean
INSECTS-abrupt_balanced;ReMF_aggstats;6;59,0656;8436,0118;4001,0469
INSECTS-abrupt_balanced;ReMF_raw;6;0,0280;0,3581;0,2170
INSECTS-abrupt_balanced;ReMF_raw_temporal;6;0,0551;0,3730;0,2402
INSECTS-abrupt_balanced;raw_features;6;0,0098;0,1423;0,0814
INSECTS-abrupt_balanced;komorniczak_statistical;6;1,6317;8,5419;4,5685
INSECTS-abrupt_imbalanced;ReMF_aggstats;6;6,8814;11617,9312;4475,1146
INSECTS-abrupt_imbalanced;ReMF_raw;6;0,0848;0,4556;0,2614
INSECTS-abrupt_imbalanced;ReMF_raw_temporal;6;0,1125;0,4573;0,2747
INSECTS-abrupt_imbalanced;raw_features;6;0,0233;0,1085;0,0684
INSECTS-abrupt_imbalanced;komorniczak_general;6;0,0437;0,7057;0,3650
INSECTS-incgradual_balanced;ReMF_aggstats;2;554,3560;554,3560;554,3560
INSECTS-incgradual_balanced;ReMF_raw;2;0,2078;0,2078;0,2078
INSECTS-incgradual_balanced;ReMF_raw_temporal;2;0,2498;0,2498;0,2498
INSECTS-incgradual_balanced;raw_features;2;0,1178;0,1178;0,1178
INSECTS-incgradual_balanced;komorniczak_general;2;1,3676;1,3676;1,3676
INSECTS-incgradual_imbalanced;ReMF_aggstats;2;356,4844;356,4844;356,4844
INSECTS-incgradual_imbalanced;ReMF_raw;2;0,2102;0,2102;0,2102
INSECTS-incgradual_imbalanced;ReMF_raw_temporal;2;0,2261;0,2261;0,2261
INSECTS-incgradual_imbalanced;raw_features;2;0,1435;0,1435;0,1435
INSECTS-incgradual_imbalanced;komorniczak_general;2;0,4533;0,4533;0,4533
SPAM;ReMF_aggstats;6;76,1396;296,9135;201,8924
SPAM;ReMF_raw;6;0,0449;0,4156;0,2272
SPAM;ReMF_raw_temporal;6;0,1183;0,7323;0,3902
SPAM;raw_features;6;0,6986;3,3049;2,2564
SPAM;komorniczak_concept;6;0,6983;7,3544;3,7932
