cell,concept_a,concept_b,l2
INSECTS-abrupt_balanced,0,1,0.0098
INSECTS-abrupt_balanced,0,2,0.0499
INSECTS-abrupt_balanced,0,3,0.1113
INSECTS-abrupt_balanced,0,4,0.0956
INSECTS-abrupt_balanced,0,5,0.0581
INSECTS-abrupt_balanced,1,2,0.052
INSECTS-abrupt_balanced,1,3,0.1108
INSECTS-abrupt_balanced,1,4,0.0959
INSECTS-abrupt_balanced,1,5,0.0587
INSECTS-abrupt_balanced,2,3,0.1237
INSECTS-abrupt_balanced,2,4,0.071
INSECTS-abrupt_balanced,2,5,0.0412
INSECTS-abrupt_balanced,3,4,0.1363
INSECTS-abrupt_balanced,3,5,0.1418
INSECTS-abrupt_balanced,4,5,0.0629
INSECTS-abrupt_imbalanced,0,1,0.049
INSECTS-abrupt_imbalanced,0,2,0.0418
INSECTS-abrupt_imbalanced,0,3,0.0796
INSECTS-abrupt_imbalanced,0,4,0.0535
INSECTS-abrupt_imbalanced,0,5,0.0641
INSECTS-abrupt_imbalanced,1,2,0.0233
INSECTS-abrupt_imbalanced,1,3,0.0938
INSECTS-abrupt_imbalanced,1,4,0.0829
INSECTS-abrupt_imbalanced,1,5,0.0816
INSECTS-abrupt_imbalanced,2,3,0.0736
INSECTS-abrupt_imbalanced,2,4,0.0691
INSECTS-abrupt_imbalanced,2,5,0.076
INSECTS-abrupt_imbalanced,3,4,0.0868
INSECTS-abrupt_imbalanced,3,5,0.1085
INSECTS-abrupt_imbalanced,4,5,0.0416
INSECTS-incgradual_balanced,0,1,0.1183
INSECTS-incgradual_imbalanced,0,1,0.1435
SPAM,0,1,2.2531
SPAM,0,2,2.5728
SPAM,0,3,2.4137
SPAM,0,4,2.5757
SPAM,0,5,2.7257
SPAM,1,2,1.0439
SPAM,1,3,2.776
SPAM,1,4,3.1637
SPAM,1,5,3.3063
SPAM,2,3,2.4327
SPAM,2,4,2.8857
SPAM,2,5,3.0761
SPAM,3,4,0.6986
SPAM,3,5,1.1351
SPAM,4,5,0.8191
